iter	Logloss
0	0.6549709748
1	0.6196302675
2	0.5838322098
3	0.5521558693
4	0.5223129074
5	0.4938549485
6	0.4611443501
7	0.4376517336
8	0.4083197582
9	0.3800947692
10	0.3594637276
11	0.3381823836
12	0.3193201171
13	0.3019237952
14	0.285212132
15	0.2715787345
16	0.2582650613
17	0.2456687181
18	0.2337834117
19	0.2218118272
20	0.2090093284
21	0.1989449672
22	0.1872083682
23	0.1777185925
24	0.1689322942
25	0.1610960578
26	0.1534620116
27	0.1451757021
28	0.1386226319
29	0.1317365174
30	0.1247925399
31	0.1199056186
32	0.114262162
33	0.1089250965
34	0.1038993248
35	0.09909244152
36	0.09486082073
37	0.09047704548
38	0.08698471211
39	0.08330170692
40	0.07990519225
41	0.07533568206
42	0.07246840308
43	0.06959789376
44	0.06680587613
45	0.06431052375
46	0.06162371649
47	0.05916828398
48	0.05676054968
49	0.05478221882
50	0.05278527144
51	0.0505968671
52	0.04768234225
53	0.04605071742
54	0.04455388985
55	0.04294973635
56	0.0406557458
57	0.03940250241
58	0.03797268194
59	0.03670854056
60	0.03539252778
61	0.03419213688
62	0.03305472076
63	0.031753104
64	0.03048146145
65	0.02963088007
66	0.02884869778
67	0.02795173047
68	0.02699445132
69	0.02620608929
70	0.02554088418
71	0.02477923683
72	0.02408974699
73	0.02351610189
74	0.02293084726
75	0.02231896865
76	0.02175061197
77	0.02113325132
78	0.02054415121
79	0.01992528759
80	0.01948794675
81	0.01893914282
82	0.01853464298
83	0.01811310975
84	0.0175980389
85	0.01712256333
86	0.01672958201
87	0.01641211271
88	0.01604248873
89	0.01557792477
90	0.0151900912
91	0.01486541004
92	0.01448356719
93	0.01416958372
94	0.01389404223
95	0.01363585921
96	0.0133020316
97	0.01291831085
98	0.01263850487
99	0.01230344039
100	0.01202788004
101	0.01172423011
102	0.01148591699
103	0.0112115761
104	0.01099559079
105	0.01075986049
106	0.01049266436
107	0.01027536531
108	0.01008885481
109	0.009900051284
110	0.009735817314
111	0.00955977664
112	0.009352511344
113	0.009172752707
114	0.009017289395
115	0.008886454784
116	0.008719598635
117	0.008530023683
118	0.008394030056
119	0.008272172919
120	0.008120865039
121	0.007969591573
122	0.007791091345
123	0.007631099055
124	0.00740623049
125	0.007278727831
126	0.007152123122
127	0.007041046456
128	0.006934148486
129	0.006830002362
130	0.006720419777
131	0.006592426654
132	0.006510945093
133	0.006398855593
134	0.006308318161
135	0.006225049656
136	0.006127321231
137	0.006043867343
138	0.005949144846
139	0.005875899644
140	0.005796670336
141	0.005721907185
142	0.005660459083
143	0.005581330472
144	0.005513675388
145	0.00544789477
146	0.005376641732
147	0.005312053773
148	0.00525999669
149	0.005214498109
150	0.005146865926
151	0.005085819338
152	0.005033648712
153	0.004981214927
154	0.004909611267
155	0.004843102384
156	0.004803170757
157	0.004754960442
158	0.004702181964
159	0.004652194312
160	0.00459337846
161	0.004546048135
162	0.004495476262
163	0.004444339166
164	0.004393080989
165	0.00435175191
166	0.004313481302
167	0.004263517713
168	0.004220905124
169	0.004164445615
170	0.004120491011
171	0.004083838621
172	0.00403209422
173	0.003982363053
174	0.003916688769
175	0.00388501493
176	0.003852589965
177	0.003815552175
178	0.003785922331
179	0.003748731493
180	0.003712521281
181	0.003686868923
182	0.003651916475
183	0.003619890954
184	0.003592127697
185	0.003560459483
186	0.003530661145
187	0.003500228939
188	0.00346736316
189	0.003436298748
190	0.003390603543
191	0.003350796346
192	0.003325310481
193	0.003295368638
194	0.003271389657
195	0.003239461009
196	0.00321724949
197	0.003185322082
198	0.003145474652
199	0.003111160679
200	0.003090987149
201	0.003062558433
202	0.0030402161
203	0.003006091618
204	0.002974577967
205	0.002954176109
206	0.002922092606
207	0.002904001346
208	0.002881054759
209	0.00286128883
210	0.002838241195
211	0.002820666487
212	0.002799376633
213	0.002777590105
214	0.002756948756
215	0.002736603817
216	0.002710658007
217	0.002684071351
218	0.002661451847
219	0.002641397434
220	0.002615542759
221	0.002588888399
222	0.002569173679
223	0.002542025366
224	0.002527962645
225	0.002514440799
226	0.002493003222
227	0.002469403285
228	0.002447747904
229	0.002428435682
230	0.002413273172
231	0.002397450459
232	0.002385592272
233	0.00237156886
234	0.00234206479
235	0.002327110851
236	0.002303632769
237	0.002284414601
238	0.002267506737
239	0.002253188181
240	0.00223887994
241	0.002218208542
242	0.002205152113
243	0.002189475633
244	0.002171089724
245	0.002159725452
246	0.002148406689
247	0.002128603198
248	0.002117692655
249	0.00210294659
250	0.002091868427
251	0.002074971045
252	0.002060528364
253	0.002044447415
254	0.002032851933
255	0.002020581386
256	0.002011955405
257	0.002001617563
258	0.001989684244
259	0.001981727318
260	0.001969661008
